,Specs,Price
54, - Intel Core i5 10th Generation - 1.8 GHz - 1TB - 8GB RAM - 15.6 - Dos,"119,999 - PKR"
55, - Core i5 10th Generation - 1.0 GHz  - NO - 8 GB  - 15.6 - Genuine Windows 10 Home,"121,000 - PKR
		            	119,999 - PKR"
56, - Intel Core i5 10th Generation - 1.6 GHz  - 1TB   - 8 GB - 15.6 - DOS,"120,000 - PKR"
57, - Core i7 10th Generation  - 1.8 GHz - 1 TB - 8GB - 15.6 - DOS,"125,000 - PKR
		            	121,999 - PKR"
58, - Intel Core i7 8th Generation - 1.6 GHz - 1TB - 8 GB - 14 inches - Dos,"122,999 - PKR"
59, - Intel Core i7  - 1.80 GHZ  - 1TB  - 8GB  - 14.0 - DOS,"124,000 - PKR"
60, - Core i5 - 1.0 GHz - 8GB - 14 INCHES - WIN 10 Home,"124,999 - PKR"
61, - Intel Core i7 10th Generation - 1.3 GHz - 1TB - 8GB - 15.6 - Dos,"125,999 - PKR"
62," - Intel Core i7 10th Generation - 1.3 GHz - 1TB - 8GB - 15.6"" - Dos","126,999 - PKR"
63, - Intel Core i7 8th Generation - 1.6 GHz - 1TB - 8 GB - 14 inches - Dos,"126,999 - PKR"
64," - Intel Core i7 10th Generation - 1.8 GHz - 1TB - 8GB RAM - 15.6"" - Dos","127,999 - PKR"
65, - Intel Core i7  - 1.80 GHZ  - 1TB  - 8GB  - 14.0 - DOS,"128,000 - PKR"
66, - Intel Core i7  - 1.80 GHZ  - 1TB  - 8GB  - 14.0 - DOS,"130,000 - PKR"
67, - Intel Core i7 10th Generation - 1.8 GHz - 1TB - 8GB - 15.6 Inches - Genuine Windows 10 Home,"130,499 - PKR"
68, - Core i7 - 1.3 GHz - 8GB - 15.6 - WIN 10 Home,"131,000 - PKR"
69, - Core i7 - 1.6 GHz - 1 TB - 8GB - 14 - DOS,"131,999 - PKR"
70, - Intel Core i7 10th Generation - 1.80 GHz  - 1TB   - 4 GB -  14 - DOS,"131,999 - PKR"
71, - Intel Core i7 10th Generation - 1.8 GHz - 1TB - 8GB RAM - 15.6 - Dos,"132,499 - PKR"
72," - Intel Core i7 10th Generation -  1.8 GHz - 1TB   - 8 GB - 15.6"" - DOS","132,999 - PKR"
73, - Core i7 - 1.8 GHz - 1 TB - 8GB - 15.6 - DOS,"133,499 - PKR"
74, - Intel Core i7 10th Generation - 1.80 GHz  - 1TB   - 4 GB -  14 - DOS,"134,999 - PKR"
75, - Intel Core i7 10th Generation -  1.8 GHz - 1TB   - 8 GB - 15.6 - DOS,"135,999 - PKR"
76, - Intel Core i7 10th Generation - 1.80 GHz  - 1TB   - 4 GB -  14 - DOS,"137,499 - PKR"
77, - Core i7 10th Generation - 1.3 GHz - NO - 8 GB RAM - 15.6 - Genuine Windows 10 Home,"137,999 - PKR"
78, - Core i7 - 1.3 GHz - 8GB - 15.6 - WIN 10 Home,"138,000 - PKR"
79, - Intel Core i7 10th Generation - 1.80 GHz  - 1TB   - 4 GB -  14 - DOS,"141,999 - PKR"
80, - Intel Core i7 10th Generation - 1.8 GHz - 1TB - 8GB RAM - 15.6 - Dos,"141,999 - PKR"
81, - Intel Core i7 10th Generation -  1.8 GHz - 1TB  HDD - 8 GB - 15.6 - DOS,"141,999 - PKR"
82, - Core i7 - 1.6 GHz - 1 TB - 8GB - 14 - DOS,"142,999 - PKR"
